job_location,search_city,search_country,job_level,job_type,job_name,languages,certifications,soft_skills,programming_languages,technologies,academic_degrees,knowledge,n_languages,n_certifications,n_soft_skills,n_programming_languages,n_technologies,n_knowledge,n_academic_degrees,num_job_level,num_job_type,num_search_country
Las Cruces- NM,Las Cruces,United States,Mid senior,Onsite,Security Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,Shell-Perl-Python,AWS-Kubernetes-Azure-Docker-Jenkins,No found,Agile-Testing-Cloud Computing-Security,0,0,5,3,5,4,0,1,2,3
Pittsburgh- PA,Homestead,United States,Mid senior,Onsite,Software Engineer,No found,No found,Time Management-Leadership-Organization-Adaptability-Creativity-Teamwork,Go-Java,No found,No found,No found,0,0,6,2,0,0,0,1,2,3
Westmont- IL,Homer,United States,Associate,Hybrid,Software Engineer,No found,No found,Problem Solving-Organization-Adaptability-Communication-Teamwork,Java-TypeScript-Python,AWS-Kubernetes-Spring-Azure-Angular-MongoDB-PostgreSQL-Docker-Jenkins-RESTful APIs,No found,Databases-Version Control-Agile-Cloud Computing-Web Development-Mocking,0,0,5,3,10,6,0,0,0,3
Franklin Park- IL,Homer,United States,Associate,Hybrid,Quality Software Engineer,No found,No found,Teamwork,Java-SQL-Python,PostgreSQL,No found,Testing-Databases-Mobile Development-Project Management-Agile,0,0,1,3,1,5,0,0,0,3
Franklin Park- IL,Homer,United States,Associate,Hybrid,Android Software Engineer,No found,No found,Communication-Leadership-Teamwork-Creativity,Kotlin-Java,No found,No found,Mobile Development-Testing-Databases,0,0,4,2,0,3,0,0,0,3
Lisle- IL,Homer,United States,Associate,Hybrid,Software Engineer,No found,No found,Communication-Leadership-Teamwork-Creativity,No found,No found,Diploma,Security,0,0,4,0,0,1,1,0,0,3
Burr Ridge- IL,Homer,United States,Mid senior,Onsite,Software Developer,No found,No found,Communication-Organization-Teamwork,Python,No found,No found,Testing-Security,0,0,3,1,0,2,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-HTML-Scala-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,6,4,4,0,1,2,3
Naperville- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Organization-Teamwork-Creativity,Java-Go-SQL-Scala-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing,0,0,3,5,6,4,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork-Creativity,Java-Go-SQL-Scala-Python,Node.js-AWS,No found,Agile-Web Development-Databases-Cloud Computing,0,0,2,5,2,4,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Problem Solving-Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing,0,0,2,8,5,4,0,1,2,3
Naperville- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork-Creativity,TypeScript-Java-Go-SQL-JavaScript-Python,Google Cloud-AWS-Azure,No found,Agile-Web Development-Databases-Cloud Computing,0,0,2,6,3,4,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Azure-Angular-Docker-Google Cloud,No found,Databases-Version Control-Agile-Web Development-Cloud Computing,0,0,1,8,6,5,0,1,2,3
Naperville- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Organization-Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,Google Cloud-AWS-Azure-Angular,No found,Agile-Web Development-Databases-Cloud Computing,0,0,2,8,4,4,0,1,2,3
Naperville- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,Node.js-AWS,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,6,2,4,0,1,2,3
Bolingbrook- IL,Homer,United States,Mid senior,Onsite,Software Engineer,No found,No found,Communication-Problem Solving-Teamwork,No found,No found,No found,Testing-Version Control-Security,0,0,3,0,0,3,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork-Creativity,Java-Go-SQL-Scala-Python,Node.js-AWS-Express,No found,Agile-Web Development-Databases-Cloud Computing,0,0,2,5,3,4,0,1,2,3
Naperville- IL,Homer,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,Google Cloud-AWS-Azure,No found,Security-Databases-Agile-Web Development-Cloud Computing,0,0,1,8,3,5,0,1,2,3
Joliet- IL,Homer,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,Node.js-Google Cloud-AWS-Azure,No found,Agile-Databases-Cloud Computing,0,0,1,6,4,3,0,1,2,3
Oak Brook- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Creativity-Communication-Teamwork,SQL,Azure,No found,Security-Testing-Version Control-DevOps-Databases-Cloud Computing,0,0,6,1,1,6,0,1,1,3
Hinsdale- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Interpersonal Skills-Problem Solving-Leadership-Organization-Communication-Teamwork,SQL,No found,No found,Agile-DevOps-Databases-Security,0,0,6,1,0,4,0,1,1,3
Will County- IL,Homer,United States,Mid senior,Remote,Software Developer,No found,No found,Problem Solving-Leadership-Empathy-Communication-Teamwork,Java-CSS-HTML-JavaScript-Python,React-Node.js,No found,Web Development-Testing-CI CD-Version Control,0,0,5,5,2,4,0,1,1,3
Lisle- IL,Homer,United States,Mid senior,Remote,Full Stack Software Engineer,No found,No found,Communication-Teamwork-Adaptability,JavaScript-Python,Node.js-RESTful APIs-AWS,No found,Security-Databases-Project Management-Agile-Cloud Computing-Web Development,0,0,3,2,3,6,0,1,1,3
Will County- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Communication-Teamwork,TypeScript-CSS-SQL-HTML-JavaScript,RESTful APIs-Azure-Redis-Angular,No found,Testing-BDD-Version Control-Databases-Mobile Development-Agile-Cloud Computing-Web Development-TDD,0,0,5,5,4,9,0,1,1,3
Cicero- IL,Homer,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Teamwork-Adaptability-Creativity,TypeScript-Ruby-CSS-HTML-JavaScript,Ruby on Rails-RESTful APIs-PostgreSQL-Express,No found,Testing-Databases-Web Development,0,0,4,5,4,3,0,1,1,3
Oak Brook- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,Java,Jenkins,No found,Testing-Version Control-Mobile Development-Networking-Agile,0,0,1,1,1,5,0,1,0,3
Franklin Park- IL,Homer,United States,Mid senior,Hybrid,Full Stack Software Engineer,No found,No found,Communication-Teamwork,JavaScript,Node.js-React-Express-MongoDB-RESTful APIs,No found,Testing-Databases-Web Development,0,0,2,1,5,3,0,1,0,3
Elmhurst- IL,Homer,United States,Mid senior,Hybrid,Software Architect,No found,No found,Leadership-Teamwork-Creativity,No found,No found,No found,Security-Web Development-Version Control,0,0,3,0,0,3,0,1,0,3
Westmont- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Communication-Teamwork-Creativity,Java-Python,No found,No found,Web Development,0,0,3,2,0,1,0,1,0,3
Oakbrook Terrace- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Negotiation-Communication-Teamwork,SQL-JavaScript,RESTful APIs-Azure-Angular,No found,Testing-DevOps-Version Control-Security-Databases-Mobile Development-Project Management-Data Science-Agile-Cloud Computing-Web Development,0,0,5,2,3,11,0,1,0,3
Aurora- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Creativity-Communication-Teamwork,Go,No found,No found,No found,0,0,6,1,0,0,0,1,0,3
Naperville- IL,Homer,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Interpersonal Skills-Problem Solving-Leadership-Organization-Communication-Teamwork,JavaScript,Azure,No found,Agile-Testing-Web Development-Cloud Computing,0,0,6,1,1,4,0,1,0,3
Virginia Beach- VA,Virginia Beach,United States,Mid senior,Onsite,FrontEnd Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Decision Making-Creativity-Communication-Work Ethic-Teamwork,TypeScript-HTML-JavaScript-CSS,React-RESTful APIs,PhD,Testing-Security-Project Management-Data Science-Agile-Web Development,0,0,8,4,2,6,1,1,2,3
Norfolk- VA,Virginia Beach,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Problem Solving-Leadership-Adaptability-Communication-Teamwork,Java-Python,Angular,Bachelors,Security-Version Control-Software Architecture,0,0,5,2,1,3,1,1,0,3
Raleigh-Durham-Chapel Hill Area,Raleigh,United States,Associate,Onsite,Software Engineer,No found,No found,Communication-Teamwork-Creativity,Java,No found,No found,Mobile Development-Testing,0,0,3,1,0,2,0,0,2,3
Cary- NC,Raleigh,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Communication,TypeScript-Go-Rust,Node.js-Kubernetes-Azure-Express-PostgreSQL-Docker-Redis-Google Cloud,No found,Databases-Cloud Computing,0,0,1,3,8,2,0,1,2,3
Raleigh- NC,Raleigh,United States,Mid senior,Onsite,Software Developer,No found,No found,Communication-Organization-Teamwork,SQL-Shell,No found,No found,Networking-Security-Databases-Data Science,0,0,3,2,0,4,0,1,2,3
Durham- NC,Raleigh,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork-Adaptability-Creativity,Python,No found,PhD,Testing,0,0,3,1,0,1,1,1,2,3
Durham- NC,Raleigh,United States,Mid senior,Onsite,Software Developer,No found,No found,Problem Solving-Organization-Creativity-Communication-Teamwork,Java-CSS-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Vue.js-Node.js-Azure-Docker-RESTful APIs-Google Cloud,Associate,Testing-DevOps-Version Control-Databases-Data Science-Agile-Cloud Computing-Web Development,0,0,5,6,8,8,1,1,2,3
Raleigh- NC,Raleigh,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Leadership-Adaptability-Creativity-Communication-Teamwork,Go-SQL-Ruby-Python,Terraform-AWS-Kubernetes-GraphQL,No found,Testing-Security-Databases-Data Science-Agile-Cloud Computing-Web Development,0,0,5,4,4,7,0,1,2,3
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Go-Python,No found,No found,Networking-CI CD,1,0,4,2,0,2,0,1,1,3
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,No found,No found,Teamwork-Adaptability,Go-Shell,RESTful APIs,No found,Security,0,0,2,2,1,1,0,1,1,3
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Security Software Engineer,English,No found,Interpersonal Skills-Communication-Teamwork-Adaptability,Ruby-Java-Go-PHP-Rust-Python,No found,No found,Testing-Security-Data Science,1,0,4,6,0,3,0,1,1,3
Raleigh- NC,Raleigh,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Time Management-Teamwork-Adaptability,Go-Python,Kubernetes-PostgreSQL-Docker,No found,Networking-Databases-Version Control-Data Science,0,0,4,2,3,4,0,1,1,3
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,BackEnd Software Developer,No found,No found,Organization-Decision Making-Leadership-Teamwork,Kotlin-Java,Kubernetes-AWS-Docker-GraphQL,No found,Testing-DevOps-Security-Mobile Development-Cloud Computing-Software Architecture,0,0,4,2,4,6,0,1,0,3
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,TypeScript-Java-Go-SQL-HTML-JavaScript-Python,AWS-Kubernetes-Angular-Docker-Jenkins-RESTful APIs,No found,Testing-DevOps-Security-Databases-Agile-Cloud Computing-Web Development-Software Architecture,0,0,1,7,6,8,0,1,0,3
Raleigh- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Creativity-Communication-Teamwork,No found,Spark,No found,Networking-Project Management,0,0,6,0,1,2,0,1,0,3
Cary- NC,Raleigh,United States,Mid senior,Hybrid,Software Developer,No found,No found,Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,TypeScript-SQL-Java,React-RESTful APIs-Node.js,No found,Web Development-Testing-Databases-Security,0,0,6,3,3,4,0,1,0,3
Durham- NC,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Teamwork,TypeScript-Java-SQL-JavaScript-Python,AWS-Vue.js-Node.js-GraphQL-Spring-React-Azure-Angular-RESTful APIs-Google Cloud-SOAP,No found,Testing-Databases-Web Development-Cloud Computing-Software Architecture,0,0,1,5,11,5,0,1,0,3
Raleigh-Durham-Chapel Hill Area,Raleigh,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Leadership-Teamwork,SQL-Kotlin-Java,AWS-Kubernetes-Spring-Docker-Google Cloud,No found,Databases-Mobile Development-Cloud Computing-Software Architecture-TDD,0,0,2,3,5,5,0,1,0,3
San Francisco- CA,Richmond,United States,Mid senior,Remote,Software Engineer,No found,No found,Teamwork,Go-Python,Kubernetes,No found,Testing-DevOps-Data Science-Networking-Agile-Cloud Computing,0,0,1,2,1,6,0,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Work Ethic-Leadership-Teamwork-Creativity,No found,AWS,Masters,Agile-Cloud Computing,0,0,4,0,1,2,1,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork-Creativity,No found,No found,No found,Web Development-Data Science,0,0,2,0,0,2,0,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Leadership-Teamwork,TypeScript-HTML-JavaScript,React-Node.js-AWS-Azure,No found,Testing-Security-Data Science-Agile-Cloud Computing-Web Development,0,0,2,3,4,6,0,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,AI Software Engineer,No found,No found,Communication-Problem Solving-Teamwork-Creativity,Java-Python,AWS-Azure-PyTorch-TensorFlow-Google Cloud,No found,Testing-Cloud Computing-Data Science,0,0,4,2,5,3,0,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Software Engineer,English-Japanese-Korean,No found,Problem Solving-Decision Making-Creativity-Communication-Teamwork,TypeScript-JavaScript,AWS-Vue.js-GraphQL-React-Azure-MySQL-Angular-PostgreSQL-Google Cloud,No found,Web Development-CI CD-Cloud Computing-Databases,3,0,5,2,9,4,0,1,2,3
Honolulu Metropolitan Area,Kaneohe,United States,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Organization-Creativity-Work Ethic-Teamwork,No found,PostgreSQL-MySQL,No found,Testing-Databases-Security-Project Management-Data Science,0,0,5,0,2,5,0,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Leadership-Teamwork,TypeScript-HTML-JavaScript,React-Node.js-AWS-Azure,No found,Security-Data Science-Agile-Web Development-Cloud Computing-Software Architecture,0,0,2,3,4,6,0,1,2,3
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Time Management-Teamwork-Adaptability,Go-Shell-Python,Kubernetes-PostgreSQL-Docker,No found,Networking-Databases-Version Control-Data Science,0,0,4,3,3,4,0,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Problem Solving-Teamwork,No found,Kubernetes-Docker-RESTful APIs,No found,Networking-Testing-Security,0,0,3,0,3,3,0,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Teamwork,No found,MySQL-MongoDB-PostgreSQL-Kubernetes,Bachelors,Networking-Databases-Web Development-Data Science,1,0,2,0,4,4,1,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Go-Python,No found,No found,Networking-CI CD,1,0,4,2,0,2,0,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Remote,Software Engineer,No found,No found,Communication-Teamwork-Adaptability-Creativity,TypeScript-JavaScript-Ruby,Ruby on Rails-RESTful APIs-PostgreSQL-Express,No found,Testing-Databases-Web Development,0,0,4,3,4,3,0,1,1,3
Honolulu- HI,Kaneohe,United States,Mid senior,Hybrid,Software Engineer,English,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Java-Go-JavaScript-Python,Kubernetes-AWS-Docker-RESTful APIs,No found,Cloud Computing-Web Development-Version Control-Data Science,1,0,7,4,4,4,0,1,0,3
Honolulu- HI,Kaneohe,United States,Mid senior,Hybrid,Software Developer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Decision Making-Communication-Teamwork,SQL,No found,No found,Databases,0,0,7,1,0,1,0,1,0,3
Lawrenceville- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Organization-Communication-Problem Solving-Teamwork,Go-JavaScript,Kubernetes-Azure-Docker-Angular,No found,DevOps-Security-Version Control-Agile-Cloud Computing-Web Development-Software Architecture,0,0,4,2,4,7,0,1,2,3
Athens- GA,Bethlehem,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-JavaScript-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,6,6,4,0,1,2,3
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Interpersonal Skills-Organization-Teamwork,CSS-HTML-JavaScript-Java,No found,No found,Agile-Web Development-Software Architecture,0,0,3,4,0,3,0,1,2,3
Athens- GA,Bethlehem,United States,Mid senior,Onsite,BackEnd Software Engineer,No found,No found,Teamwork,Java-Go-SQL-Scala-Python,AWS-Kubernetes-Node.js-Azure-Docker-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,5,6,4,0,1,2,3
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-SQL-HTML-JavaScript,AWS-Vue.js-Node.js-Azure-Angular-Google Cloud,No found,Agile-Web Development-Databases-Cloud Computing,0,0,1,6,6,4,0,1,2,3
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Interpersonal Skills-Organization-Teamwork,CSS-HTML-JavaScript-Java,No found,No found,Agile-Web Development,0,0,3,4,0,2,0,1,2,3
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Full Stack Software Engineer,No found,No found,Teamwork,TypeScript-Java-CSS-Go-SQL-HTML-JavaScript-Python,AWS-React-Azure-MySQL-Angular-PostgreSQL-Google Cloud,No found,Databases-Agile-Web Development-Cloud Computing-Software Architecture,0,0,1,8,7,5,0,1,2,3
Athens- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Creativity-Communication-Teamwork,SQL-JavaScript-HTML,No found,No found,Testing-Databases-Web Development-Data Science,0,0,5,3,0,4,0,1,2,3
Lawrenceville- GA,Bethlehem,United States,Mid senior,Onsite,Software Developer,No found,No found,Organization-Communication-Problem Solving-Teamwork,SQL-HTML,React-Angular-Express,No found,Testing-Databases-Version Control-Security-Mobile Development-Web Development,0,0,4,2,3,6,0,1,2,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Adaptability-Communication-Teamwork,TypeScript-JavaScript-Java,React-Google Cloud-Angular-Vue.js,No found,Testing-Security-Agile-Web Development-Cloud Computing-Software Architecture,0,0,5,3,4,6,0,1,2,3
Suwanee- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Problem Solving-Leadership-Creativity-Communication-Teamwork,Python,No found,No found,No found,0,0,5,1,0,0,0,1,2,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Organization-Leadership-Adaptability-Communication-Teamwork,TypeScript-JavaScript-Java,React-Google Cloud-Angular-Vue.js,No found,Testing-Security-Agile-Web Development-Software Architecture,0,0,5,3,4,5,0,1,2,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Onsite,Software Engineer,No found,No found,Communication-Leadership-Teamwork-Adaptability,SQL-JavaScript,Node.js-GraphQL-React-Angular-Google Cloud,No found,Testing-Databases-Version Control-Agile-Cloud Computing-Web Development,0,0,4,2,5,6,0,1,2,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,BackEnd Software Engineer,No found,No found,Interpersonal Skills-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Go-SQL-Java,Google Cloud-AWS-Azure-Spring,No found,Testing-Databases-Security-Agile-Cloud Computing-Software Architecture,0,0,7,3,4,6,0,1,0,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,No found,No found,No found,Agile-Security-Databases-Data Science,0,0,7,0,0,4,0,1,0,3
Windy Hill- GA,Bethlehem,United States,Mid senior,Hybrid,Software Engineer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Creativity-Communication-Teamwork,Java,AWS-Spring-Azure-RESTful APIs-Google Cloud-SOAP,No found,Security-Databases-Agile-Cloud Computing-Software Architecture,0,0,7,1,6,5,0,1,0,3
North Charleston- SC,Charleston,United States,Mid senior,Onsite,Quality Software Engineer,No found,No found,No found,No found,No found,No found,Testing,0,0,0,0,0,1,0,1,2,3
Charleston- SC,Charleston,United States,Mid senior,Onsite,Software Engineer,English,No found,Communication-Leadership-Teamwork-Problem Solving,Java-Perl-SQL-Shell-Python,No found,No found,Databases-Data Science,1,0,4,5,0,2,0,1,2,3
North Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership-Teamwork-Adaptability-Creativity,SQL-Shell-Ruby-Python,Ansible-Django-Puppet-Chef-MySQL-Angular-MongoDB-PostgreSQL-Jenkins-Flask,No found,Testing-Security-Databases-Networking-Agile-Web Development-CI CD,0,0,4,4,10,7,0,1,0,3
North Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership-Teamwork-Adaptability-Creativity,No found,No found,No found,Testing-Security,0,0,4,0,0,2,0,1,0,3
Charleston- SC,Charleston,United States,Mid senior,Hybrid,Security Software Engineer,No found,No found,Leadership,TypeScript,Hadoop,No found,Databases-Cloud Computing-Software Architecture,0,0,1,1,1,3,0,1,0,3
Charleston- SC,Charleston,United States,Mid senior,Hybrid,Software Developer,No found,No found,Problem Solving-Leadership-Organization-Adaptability-Decision Making-Communication-Teamwork,SQL,No found,No found,Databases,0,0,7,1,0,1,0,1,0,3
Manchester- England- United Kingdom,Burnley,United Kingdom,Associate,Hybrid,Software Engineer,No found,No found,Organization-Adaptability-Creativity-Communication-Teamwork,No found,Chef-Ansible-Jenkins,No found,Agile-DevOps-CI CD-Version Control,0,0,5,0,3,4,0,0,0,2
Huddersfield- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Teamwork,No found,No found,Masters,Security-Data Science,0,0,2,0,0,2,1,1,2,2
Manchester Area- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,No found,No found,Azure,No found,DevOps-Version Control-Cloud Computing,0,0,0,0,1,3,0,1,2,2
Manchester- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Teamwork,JavaScript,React-AWS-Jenkins,Bachelors,Web Development-Cloud Computing-Software Architecture,0,0,1,1,3,3,1,1,2,2
Greater Burnley Area,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,No found,No found,Leadership-Teamwork-Creativity,No found,No found,No found,No found,0,0,3,0,0,0,0,1,2,2
Manchester- England- United Kingdom,Burnley,United Kingdom,Mid senior,Onsite,Software Engineer,Turkish,No found,Leadership-Teamwork-Creativity,Java,No found,No found,Agile-Web Development,1,0,3,1,0,2,0,1,2,2
